# start: 1905 10, end: 2006 12, frequency: 12
BlueMesa	Crystal	Navajo	Fontenelle	FlamingGorge	LeesFerry
178296	200196	117016	195200	263957	2250281
69736	71636	44221	134900	179840	1104801
56470	58970	33331	84800	121125	629627
38238	38438	56200	41400	62089	671962
26000	27800	21000	32700	50765	358134
26200	30200	20600	24600	32516	312958
22500	23600	12900	26200	27066	284314
19900	20900	14300	21700	28866	261838
16000	16300	18700	22200	25659	301174
28900	32500	51100	36300	53901	439069
64300	79700	98300	30100	69871	735512
173556	211456	189387	93100	197436	2442459
147064	172664	88513	160400	218618	2212811
51590	55790	46606	53500	93790	984226
42370	44570	34269	45700	72924	522322
28338	30938	38400	26200	42374	525462
28500	32500	62187	35800	58359	731809
27200	32700	27000	26600	37103	410101
20700	22900	23500	26700	32991	364873
21800	22400	22100	21700	31814	355941
20600	22500	48400	19900	31540	430079
29000	32500	121000	37300	83859	675567
54700	65400	275000	82400	163394	1127132
319569	378269	821300	176600	294772	5323093
334169	381469	618048	353800	441289	4598652
167761	181961	330657	171400	222662	2428433
83129	86629	93922	103800	150608	1190375
34452	38152	86585	48300	76671	683285
64700	72000	261100	62100	84566	1813960
45800	51100	91800	46700	67985	913231
34000	38200	43300	27000	33547	576929
26300	30800	33600	22800	35956	404450
22200	26600	27900	16800	34383	395910
29800	36800	65700	36400	86007	660985
154000	187400	422300	163900	267345	2902862
293010	343610	334400	152400	275819	3500486
415128	472928	340697	355900	508736	4834784
159210	169410	106846	233600	302987	2074078
79970	82370	42184	100600	136222	938573
31138	32538	24128	43600	62332	412011
27400	28700	16100	30600	39216	358326
28700	29600	18000	26300	36088	373655
27500	27800	15700	26300	31310	369016
22800	24500	17100	26800	37494	345094
20700	24200	24600	26900	48648	344573
29300	35000	58700	44000	121956	533607
169400	201800	201900	177000	304036	1624861
242166	284866	197316	241000	356602	2446508
292702	340102	151721	498800	677854	3294191
137490	149390	75474	379900	457775	2132619
108070	117570	57810	150600	195044	1188466
56038	61338	25212	65700	96229	613563
35500	39600	17800	47500	76646	386115
36700	41800	20700	39400	53980	442637
25100	27800	19300	30200	36742	379167
21400	23000	14100	25000	36746	284953
22800	25400	14400	24600	47017	344393
27700	33400	40200	31500	107285	515043
56700	71200	147100	215600	332893	1060878
323710	383010	423600	161400	277432	3622415
398828	462328	422548	361200	581119	4760167
187044	206844	159364	258800	342729	2526378
74685	78085	39895	99800	139700	857685
25538	27638	12086	38800	65034	332678
31700	35000	30500	38700	44739	378318
29200	32500	23400	30300	42296	378988
23100	23800	16400	21900	29745	307526
24600	27100	16300	23500	43168	330444
21400	24000	24800	25100	50652	359434
26900	31000	42600	35400	82121	430301
51700	62400	155900	69400	138867	790464
233710	291210	341900	120700	210629	3150282
244328	296128	237937	250800	372016	3358331
156925	176225	89685	310500	401670	2468347
111270	119170	49756	150100	206827	1465735
37938	40138	7920	74100	108399	494543
36000	37900	27100	55000	62235	538329
31900	35900	15800	37100	41251	434400
24300	26600	11000	31600	38892	319918
22700	25500	13800	30300	40507	348056
19800	24900	14900	24000	42620	313504
33000	41000	26400	41000	110815	506085
95400	118500	85200	143100	251871	1141099
141542	169842	89200	215500	359623	1970811
251707	287107	131341	335900	463584	2755500
97717	101017	39144	186800	245254	1432801
60905	65105	41963	99900	147580	852859
27282	30982	24787	50700	74621	449366
34900	37800	35000	53200	71387	430011
29500	31500	29100	46800	63519	472765
22600	23000	19900	42800	50786	422598
19000	20900	15400	26900	42811	265000
18800	21300	19800	26800	58159	353367
27800	31900	33500	77800	173848	656705
66400	77900	54800	84700	196306	844051
303590	344790	226000	341700	503665	3600478
333301	381501	174066	429700	556809	3790869
217336	237436	70100	348100	416224	2726585
103270	109770	92863	188600	234155	1575216
66438	69938	62900	79900	107906	778634
53000	57700	69300	67500	100301	830410
40300	44400	32100	53500	72054	577524
33300	35400	20200	40500	50327	440646
27000	30900	20200	29500	43293	375948
25300	29600	26200	21200	48685	432004
29200	34500	37200	41800	93690	624879
94300	159800	227700	78500	172002	1728270
431910	517410	393100	200900	366979	4032836
385828	432328	371086	379100	468003	3915190
155020	166520	102336	155200	208806	1662639
81195	85295	48184	78600	120582	887163
30138	32138	12330	39500	62013	372680
36600	39200	19500	34100	55377	361999
31600	35300	17300	25000	41540	399745
27400	31000	14900	24400	31666	345940
24000	24000	19200	24500	40856	326825
20700	23100	19600	21100	45759	350930
28600	32700	63700	43000	100918	692323
107000	127700	233300	99200	188682	1377417
257700	307000	349900	214100	363399	3474042
441807	510807	478576	363900	506779	5116808
235368	255068	217162	217700	288288	2809867
90181	93481	53938	99000	139558	985996
30165	33765	17614	44400	71430	420280
38600	42400	21800	49200	62390	539732
37400	40700	20900	50900	52744	475823
25700	26400	13900	27900	36760	363538
25400	24500	17400	25700	46787	346883
22300	24200	24000	28700	54619	394728
25200	27600	35900	39800	117144	631678
110700	130300	136800	202500	340622	1270496
168620	193620	149100	249100	425075	2239296
258158	293358	135325	570900	814292	3782182
105158	111758	52654	418400	518360	2027117
50400	52500	15404	168200	230488	817607
21300	23800	14437	76600	110659	428841
29600	31200	16200	60300	78769	423062
26400	28900	10500	62700	79624	355831
27700	29900	10300	42400	60758	422695
25200	27400	9800	38200	44656	307758
24600	24500	10600	39700	61210	356588
33300	37400	21300	49000	92872	416528
62000	71800	38800	145500	211855	564533
182982	211782	140300	321000	400252	2034805
297797	317797	125227	510400	678214	3694508
108481	138281	27012	371000	447459	2205007
70274	73174	33790	216300	285957	1172271
22433	24333	14000	88400	116207	532247
29800	33100	7700	64900	98876	430044
27200	29900	14100	38000	56795	451352
26500	28500	22100	36200	53933	340253
28400	31000	31200	40400	49428	490658
22900	27100	18800	37500	52245	385654
25600	29300	58700	43500	63431	435309
146400	181600	328000	152300	316582	2329319
376014	456714	435400	301000	603176	5569121
539225	623725	506963	375300	617022	6201051
181115	199415	148290	193300	301798	2317967
114502	122602	65701	115500	169464	1255129
50408	55308	25706	58500	83984	694186
38900	44500	12600	36200	52521	376061
30700	35500	14300	24900	36934	376582
31500	33200	18800	25200	34017	374385
28000	30700	19100	29100	47643	402474
20100	24100	16200	30200	48218	365207
32100	36500	40200	41400	72823	458845
49600	62300	88500	70400	95921	554827
143100	171300	138000	67100	109906	1285021
338978	393578	186407	370500	506210	3910327
122783	132783	44857	229000	301743	1662389
78612	85012	28639	123000	168191	1032517
24600	28000	3834	44400	63421	405366
29500	32100	14000	30700	36707	318406
34400	38800	24600	31900	41756	427066
27800	30000	15200	23300	31529	342974
23300	25200	13100	25400	27907	317925
21500	24900	20800	29300	39045	341586
26600	31800	32500	36300	61628	388722
54000	65400	110700	65000	100840	666898
100507	121207	185918	287100	315665	1753441
90967	101867	88745	253200	273175	1396009
81300	86500	66833	260600	351389	1255884
49600	54500	51457	107800	138552	664718
23000	26800	37694	47000	61012	494512
35600	38100	12762	36300	44429	570813
26100	28800	7840	33200	40848	355936
25200	26300	13910	18400	19874	289658
21900	22800	13319	19800	24060	254680
15400	17800	13254	19100	24575	252729
19600	22600	28925	27900	43597	590617
62200	75600	51803	59900	106215	697977
134726	160926	158181	128700	175479	1950795
188538	215938	161279	265800	338656	2332135
79335	87135	42268	154100	217287	1220313
73520	78220	80627	91500	123776	920244
9487	24687	18904	38700	50953	359573
19900	21800	4976	30800	39191	225234
26100	28900	12028	25100	36180	274490
29300	31600	16483	32100	45414	335121
23800	25900	17574	38400	50031	379784
18900	21800	15949	29700	37488	279980
27900	31600	52506	65700	149673	513692
84400	104200	91134	130200	202810	993694
235027	279127	212172	306800	377893	2814517
242968	278368	153098	571200	693386	3534913
70400	76100	31599	223100	295669	1151798
46600	51700	18269	124600	169243	703754
13500	16500	579	59600	75540	298120
23400	25100	1080	42700	51674	193813
27600	28900	12245	35500	38626	304643
22800	22600	9587	26100	25587	258166
21100	22500	14685	22600	27868	295275
21800	23700	31263	27700	42962	331116
26800	31600	47924	45100	65704	508805
73700	90500	135499	54600	86063	868604
232500	302400	235709	186100	271835	2805792
682734	805534	560807	494300	735944	6669099
463454	568254	357124	385400	525007	4906010
188000	203000	167113	135000	201861	2007877
71000	77900	58442	70000	98816	1010603
46000	50900	51333	57800	78298	756358
43000	49900	60931	44900	57009	838468
41100	45100	36477	41600	45660	502956
32100	34400	24258	32600	43398	392045
28300	30900	53216	41000	55081	536727
31600	35100	79267	42200	65940	688965
95400	117300	285975	85500	134241	1599996
457998	550098	481269	290500	410722	4597690
380203	443103	322323	284100	413898	4562509
100639	108639	59297	119800	168901	1308184
67114	70614	29788	75900	103528	677219
34900	38700	33132	43400	55233	438820
28600	30600	17075	31300	39326	333453
31100	33600	19115	30000	34104	358554
27300	30400	14935	29400	37993	368349
25200	27400	11669	21800	29256	306407
22600	26000	15501	22700	31696	313512
26500	29200	18690	36300	65078	350118
51200	62700	41260	59800	98479	463516
121801	146301	104452	77100	118815	1380376
237427	272327	116510	368700	429195	2826173
75391	79491	29042	171500	271363	1448923
53717	58517	41615	102700	137569	766845
19800	22100	7487	43000	62714	316311
51100	57200	66266	50200	67876	557316
37700	41200	47251	37700	50654	517710
25100	26500	22698	28200	37307	350962
23300	26600	16880	24600	26182	289809
25100	28500	17250	20000	28760	314720
47400	57500	179920	54200	148721	749816
138200	172600	246540	78500	140192	1720737
160424	192724	228686	68700	139665	1977890
286033	326633	283404	198900	281906	3222979
104471	109771	75088	116800	165830	1361812
60485	59185	25480	54400	77510	582813
