BlueMesa,Crystal,FlamingGorge,Fontenelle,LeesFerry,Navajo
# start 1917, 1; end 2009, 12; frequency 12,,,
113906.6943,144127.0171,245972.9597,160284.2775,1511690.502,54432.52529
41228.7157,52694.8584,164439.2798,103849.2665,677799.8438,12963.60401
34384.00586,43019.13989,141512.512,100852.4494,845187.4707,60732.55861
31637.63055,42015.88196,111733.0361,70017.63776,734683.5332,25495.12909
34850.52799,45296.90344,91218.16492,53479.79832,658300.5654,30688.30659
29029.33173,39872.4928,84434.29297,49335.0558,473364.2783,29408.15443
21818.79828,30780.35083,75651.96252,39879.4308,517312.0742,35651.12621
23558.8103,42671.29712,139496.2517,50260.64632,809472.9063,101276.1
74140.79712,106621.708,240375.2798,109238.5486,1386429.963,140019.2912
569197.0867,769727.0957,538757.939,243556.1395,4993719.277,380437.9123
527416.7158,662803.5928,532008.5527,366889.0907,5862965.531,187794.3128
262253.751,325416.2202,370564.3345,290440.1194,3163291.727,51252.34161
130691.8091,157171.311,202513.4524,138859.2797,1544310.691,57868.4963
64263.41821,76505.50195,118118.3325,82289.50335,889472.3359,41840.80181
57819.77649,72042.44519,119213.708,92795.41231,1044000.82,87101.66839
41806.33868,48517.59937,85247.19098,63582.65111,862760.7871,49978.5498
34394.71863,42934.38391,52324.77234,36659.46657,628197.252,51539.76266
29158.28101,48678.90076,60894.55878,39583.70399,592473.5332,33395.65242
24265.1409,41501.98096,51716.45075,32730.88025,504956.1143,39099.06417
39716.8017,63788.94019,111444.9071,47732.4,1051078.801,189467.7245
137219.2327,189855.803,284945.3354,160133.7305,2348664.951,355429.489
351790.7915,462035.876,312330.1431,231123.1083,3955707.844,417265.6234
402828.8203,514386.7119,212791.6113,174531.5403,3833645.445,436718.7624
148875.6165,175120.0464,124583.813,110062.6107,1563091.113,115024.2926
64618.80518,77042.59314,49324.49628,57693.22589,688263.4502,42727.43682
47620.19312,59260.92407,36018.21494,45547.00687,609268.1631,83437.6185
54422.4541,65558.27405,62149.05139,53835.41448,854145.2969,83633.51304
40315.31561,50083.59045,50837.35492,46235.87245,733764.1875,54918.2031
32110.74463,41669.24255,50676.22717,45733.02747,636331.583,46573.69556
30842.9967,39899.52295,39251.82681,37961.83374,559847.4688,32349.61664
30649.39917,40561.32044,94424.49634,44974.93221,685739.0928,57408.57156
50164.40216,64712.93591,160692.1023,98724.86525,1053371.738,132245.3165
