"Year", "BlueMesa", "Crystal", "Navajo", "Fontenelle", "FlamingGorge", "LeesFerry"
06-30-1936,240917,282912,124629,530700,659017,3360120
07-31-1936,105147,113084,58867,198400,274133,1709054
08-31-1936,102470,110312,83416,153800,223149,1262461
09-30-1936,49838,53142,63200,57100,92335,705479
10-31-1936,36600,39600,32400,42600,68404,376632
11-30-1936,28000,32000,37100,34600,51578,443083
12-31-1936,20000,22100,19900,29000,32920,317127
01-31-1937,20000,22100,17200,22800,35477,200331
02-28-1937,20000,22700,22200,21300,34778,414259
03-31-1937,26000,30100,104100,35400,92979,700570
04-30-1937,104000,129500,388900,145300,247627,1559558
05-31-1937,329010,400820,472700,246400,399007,3833664
06-30-1937,189528,220233,260166,290900,356631,2958383
07-31-1937,94786,104186,99678,230700,278147,1923465
08-31-1937,59870,64370,52211,89200,130084,838115
09-30-1937,33138,35538,24500,48300,71438,596566
10-31-1937,38700,41700,28300,37700,60395,505920
11-30-1937,31700,36300,19400,28000,39725,384592
12-31-1937,24900,29900,13700,25100,30443,390633
01-31-1938,24900,27800,15900,21800,34955,325636
02-28-1938,21600,22400,16800,23100,44141,354576
03-31-1938,33800,40600,100900,33500,72677,794138
04-30-1938,131800,168400,281300,138000,235212,1659082
05-31-1938,274710,344598,353600,197400,351304,3599127
06-30-1938,446928,529286,436395,452500,628252,5324845
07-31-1938,165117,181526,141891,245800,306048,2503358
08-31-1938,80270,85470,53546,105800,165083,1027382
09-30-1938,63638,68138,97612,77000,110130,1050775
10-31-1938,50300,54300,64200,77300,107670,618499
11-30-1938,39300,42600,30200,46000,69940,479804
12-31-1938,26900,31000,19100,37700,46465,411097
01-31-1939,25700,29500,16800,30500,47306,348487
02-28-1939,18100,19700,13500,26200,47053,300376
03-31-1939,51200,60100,95700,63500,137655,809304
04-30-1939,102200,122700,148800,73900,151665,1228539
05-31-1939,249513,290313,225405,202700,263063,2865279
06-30-1939,178296,200196,117016,195200,263957,2250281
07-31-1939,69736,71636,44221,134900,179840,1104801
08-31-1939,56470,58970,33331,84800,121125,629627
09-30-1939,38238,38438,56200,41400,62089,671962
10-31-1939,26000,27800,21000,32700,50765,358134
11-30-1939,26200,30200,20600,24600,32516,312958
12-31-1939,22500,23600,12900,26200,27066,284314
01-31-1940,19900,20900,14300,21700,28866,261838
02-29-1940,16000,16300,18700,22200,25659,301174
03-31-1940,28900,32500,51100,36300,53901,439069
04-30-1940,64300,79700,98300,30100,69871,735512
05-31-1940,173556,211456,189387,93100,197436,2442459
06-30-1940,147064,172664,88513,160400,218618,2212811
07-31-1940,51590,55790,46606,53500,93790,984226
08-31-1940,42370,44570,34269,45700,72924,522322
09-30-1940,28338,30938,38400,26200,42374,525462
10-31-1940,28500,32500,62187,35800,58359,731809
11-30-1940,27200,32700,27000,26600,37103,410101
12-31-1940,20700,22900,23500,26700,32991,364873
01-31-1941,21800,22400,22100,21700,31814,355941
02-28-1941,20600,22500,48400,19900,31540,430079
03-31-1941,29000,32500,121000,37300,83859,675567
04-30-1941,54700,65400,275000,82400,163394,1127132
05-31-1941,319569,378269,821300,176600,294772,5323093
06-30-1941,334169,381469,618048,353800,441289,4598652
07-31-1941,167761,181961,330657,171400,222662,2428433
08-31-1941,83129,86629,93922,103800,150608,1190375
09-30-1941,34452,38152,86585,48300,76671,683285
10-31-1941,64700,72000,261100,62100,84566,1813960
11-30-1941,45800,51100,91800,46700,67985,913231
12-31-1941,34000,38200,43300,27000,33547,576929
01-31-1942,26300,30800,33600,22800,35956,404450
02-28-1942,22200,26600,27900,16800,34383,395910
03-31-1942,29800,36800,65700,36400,86007,660985
04-30-1942,154000,187400,422300,163900,267345,2902862
05-31-1942,293010,343610,334400,152400,275819,3500486
06-30-1942,415128,472928,340697,355900,508736,4834784
07-31-1942,159210,169410,106846,233600,302987,2074078
08-31-1942,79970,82370,42184,100600,136222,938573
09-30-1942,31138,32538,24128,43600,62332,412011
10-31-1942,27400,28700,16100,30600,39216,358326
11-30-1942,28700,29600,18000,26300,36088,373655
12-31-1942,27500,27800,15700,26300,31310,369016
01-31-1943,22800,24500,17100,26800,37494,345094
02-28-1943,20700,24200,24600,26900,48648,344573
03-31-1943,29300,35000,58700,44000,121956,533607
04-30-1943,169400,201800,201900,177000,304036,1624861
05-31-1943,242166,284866,197316,241000,356602,2446508
06-30-1943,292702,340102,151721,498800,677854,3294191
07-31-1943,137490,149390,75474,379900,457775,2132619
08-31-1943,108070,117570,57810,150600,195044,1188466
09-30-1943,56038,61338,25212,65700,96229,613563
10-31-1943,35500,39600,17800,47500,76646,386115
11-30-1943,36700,41800,20700,39400,53980,442637
12-31-1943,25100,27800,19300,30200,36742,379167
01-31-1944,21400,23000,14100,25000,36746,284953
02-29-1944,22800,25400,14400,24600,47017,344393
03-31-1944,27700,33400,40200,31500,107285,515043
04-30-1944,56700,71200,147100,215600,332893,1060878
05-31-1944,323710,383010,423600,161400,277432,3622415
06-30-1944,398828,462328,422548,361200,581119,4760167
07-31-1944,187044,206844,159364,258800,342729,2526378
08-31-1944,74685,78085,39895,99800,139700,857685
09-30-1944,25538,27638,12086,38800,65034,332678
10-31-1944,31700,35000,30500,38700,44739,378318
11-30-1944,29200,32500,23400,30300,42296,378988
12-31-1944,23100,23800,16400,21900,29745,307526
01-31-1945,24600,27100,16300,23500,43168,330444
02-28-1945,21400,24000,24800,25100,50652,359434
03-31-1945,26900,31000,42600,35400,82121,430301
04-30-1945,51700,62400,155900,69400,138867,790464
05-31-1945,233710,291210,341900,120700,210629,3150282
06-30-1945,244328,296128,237937,250800,372016,3358331
07-31-1945,156925,176225,89685,310500,401670,2468347
08-31-1945,111270,119170,49756,150100,206827,1465735
09-30-1945,37938,40138,7920,74100,108399,494543
10-31-1945,36000,37900,27100,55000,62235,538329
11-30-1945,31900,35900,15800,37100,41251,434400
12-31-1945,24300,26600,11000,31600,38892,319918
01-31-1946,22700,25500,13800,30300,40507,348056
02-28-1946,19800,24900,14900,24000,42620,313504
03-31-1946,33000,41000,26400,41000,110815,506085
04-30-1946,95400,118500,85200,143100,251871,1141099
05-31-1946,141542,169842,89200,215500,359623,1970811
06-30-1946,251707,287107,131341,335900,463584,2755500
07-31-1946,97717,101017,39144,186800,245254,1432801
08-31-1946,60905,65105,41963,99900,147580,852859
09-30-1946,27282,30982,24787,50700,74621,449366
10-31-1946,34900,37800,35000,53200,71387,430011
11-30-1946,29500,31500,29100,46800,63519,472765
12-31-1946,22600,23000,19900,42800,50786,422598
01-31-1947,19000,20900,15400,26900,42811,265000
02-28-1947,18800,21300,19800,26800,58159,353367
03-31-1947,27800,31900,33500,77800,173848,656705
04-30-1947,66400,77900,54800,84700,196306,844051
05-31-1947,303590,344790,226000,341700,503665,3600478
06-30-1947,333301,381501,174066,429700,556809,3790869
07-31-1947,217336,237436,70100,348100,416224,2726585
08-31-1947,103270,109770,92863,188600,234155,1575216
09-30-1947,66438,69938,62900,79900,107906,778634
10-31-1947,53000,57700,69300,67500,100301,830410
11-30-1947,40300,44400,32100,53500,72054,577524
12-31-1947,33300,35400,20200,40500,50327,440646
01-31-1948,27000,30900,20200,29500,43293,375948
02-29-1948,25300,29600,26200,21200,48685,432004
03-31-1948,29200,34500,37200,41800,93690,624879
04-30-1948,94300,159800,227700,78500,172002,1728270
05-31-1948,431910,517410,393100,200900,366979,4032836
06-30-1948,385828,432328,371086,379100,468003,3915190
07-31-1948,155020,166520,102336,155200,208806,1662639
08-31-1948,81195,85295,48184,78600,120582,887163
09-30-1948,30138,32138,12330,39500,62013,372680
10-31-1948,36600,39200,19500,34100,55377,361999
11-30-1948,31600,35300,17300,25000,41540,399745
12-31-1948,27400,31000,14900,24400,31666,345940
01-31-1949,24000,24000,19200,24500,40856,326825
02-28-1949,20700,23100,19600,21100,45759,350930
03-31-1949,28600,32700,63700,43000,100918,692323
04-30-1949,107000,127700,233300,99200,188682,1377417
05-31-1949,257700,307000,349900,214100,363399,3474042
06-30-1949,441807,510807,478576,363900,506779,5116808
07-31-1949,235368,255068,217162,217700,288288,2809867
08-31-1949,90181,93481,53938,99000,139558,985996
09-30-1949,30165,33765,17614,44400,71430,420280
10-31-1949,38600,42400,21800,49200,62390,539732
11-30-1949,37400,40700,20900,50900,52744,475823
12-31-1949,25700,26400,13900,27900,36760,363538
01-31-1950,25400,24500,17400,25700,46787,346883
02-28-1950,22300,24200,24000,28700,54619,394728
03-31-1950,25200,27600,35900,39800,117144,631678
04-30-1950,110700,130300,136800,202500,340622,1270496
05-31-1950,168620,193620,149100,249100,425075,2239296
06-30-1950,258158,293358,135325,570900,814292,3782182
07-31-1950,105158,111758,52654,418400,518360,2027117
08-31-1950,50400,52500,15404,168200,230488,817607
09-30-1950,21300,23800,14437,76600,110659,428841
10-31-1950,29600,31200,16200,60300,78769,423062
11-30-1950,26400,28900,10500,62700,79624,355831
12-31-1950,27700,29900,10300,42400,60758,422695
